Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
4CM3,TEORIA DE LA COMPUTACION,ALBORTANTE MORATO CECILIA,2,005,07:00-08:30,,,07:00-08:30,08:30-10:00
4CM3,PROBABILIDAD Y ESTADISTICA,CAÑEDO SUAREZ LETICIA,2,005,12:00-13:30,,12:00-13:30,12:00-13:30,
4CM3,MATEMATICAS AVANZADAS PARA LA INGENIERIA,ARCOS DIAZ ELSA LETICIA,2,005,,10:30-12:00,10:30-12:00,,10:30-12:00
4CM3,DISEÑO DE SISTEMAS DIGITALES,GALICIA MEJIA RUBEN,2,009,08:30-10:00,,08:30-10:00,08:30-10:00,
4CM3,ELECTRONICA ANALOGICA,CARRANZA CASTILLO OSCAR,2,005,10:30-12:00,08:30-10:00,,10:30-12:00,
4CM3,TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB,GARCIA CORTES ROCIO,2,005,,07:00-08:30,07:00-08:30,,07:00-08:30
4CM3,SISTEMAS OPERATIVOS,JUÁREZ MÉNDEZ ANA BELEM,2,005,,12:00-13:30,13:30-15:00,,12:00-13:30
