Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
2CM6,ALGORITMOS Y ESTRUCTURA DE DATOS,FLORES MENDOZA YAXKIN,1,214,12:00-13:30,,12:00-13:30,12:00-13:30,
2CM6,ALGEBRA LINEAL,REYES BERMEJO TLATOANI DE JESUS,1,214,07:00-08:30,,,07:00-08:30,08:30-10:00
2CM6,CALCULO APLICADO,VIVEROS VELA KARINA,1,214,,07:00-08:30,07:00-08:30,,07:00-08:30
2CM6,MECANICA Y ELECTROMAGNETISMO,SALINAS HERNANDEZ ENCARNACION,1,214,,10:30-12:00,10:30-12:00,13:30-15:00,10:30-12:00
2CM6,INGENIERIA ETICA Y SOCIEDAD,SANCHEZ MORENO ADRIANA DE LAP,1,214,10:30-12:00,08:30-10:00,,10:30-12:00,
2CM6,FUNDAMENTOS ECONOMICOS,CASTILLO MARRUFO JUAN ANTONIO,1,214,08:30-10:00,,08:30-10:00,08:30-10:00,
