Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
2CM2,ALGORITMOS Y ESTRUCTURA DE DATOS,DE LUNA CABALLERO ROBERTO,1,011,,07:00-08:30,07:00-08:30,,07:00-08:30
2CM2,ALGEBRA LINEAL,MORALES GONZALEZ ANGEL,1,011,08:30-10:00,,08:30-10:00,08:30-10:00,
2CM2,CALCULO APLICADO,ARCOS DIAZ ELSA LETICIA,1,011,10:30-12:00,08:30-10:00,,10:30-12:00,
2CM2,MECANICA Y ELECTROMAGNETISMO,CORREA COYAC DAVID,1,011,13:30-15:00,12:00-13:30,13:30-15:00,,12:00-13:30
2CM2,INGENIERIA ETICA Y SOCIEDAD,CENTENO ARRAZOLA MARIA SOLEDAD,1,011,12:00-13:30,,12:00-13:30,12:00-13:30,
2CM2,FUNDAMENTOS ECONOMICOS,GALIÑANES RODRIGUEZ MARIA GABRIELA,1,011,,10:30-12:00,10:30-12:00,,10:30-12:00
