Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
3CM2,ANALISIS Y DISEÑO DE ALGORITMOS,DIAZ SANTIAGO RICARDO FELIPE,2,207,,07:00-08:30,07:00-08:30,,07:00-08:30
3CM2,PARADIGMAS DE PROGRAMACION,AGUILAR GARCIA RAFAEL,2,207,07:00-08:30,,,07:00-08:30,08:30-10:00
3CM2,ECUACIONES DIFERENCIALES,CHAVEZ LIMA EDUARDO,2,207,,10:30-12:00,10:30-12:00,,10:30-12:00
3CM2,FUNDAMENTOS DE DISEÑO DIGITAL,TESTA NAVA ALEXIS,2,006,12:00-13:30,,12:00-13:30,12:00-13:30,
3CM2,CIRCUITOS ELECTRICOS,DURÁN CAMARILLO EDMUNDO RENE,2,207,10:30-12:00,08:30-10:00,,10:30-12:00,
3CM2,BASES DE DATOS,GALEANA CHAVEZ M. en A.P. MARIA DEL ROSARIO,2,207,08:30-10:00,,08:30-10:00,08:30-10:00,
3CM2,FINANZAS EMPRESARIALES,AGUSTIN DOMINGUEZ VERONICA,2,207,,12:00-13:30,13:30-15:00,,12:00-13:30
