Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
4CM2,TEORIA DE LA COMPUTACION,JUAREZ MARTINEZ GENARO,2,004,,12:00-13:30,13:30-15:00,,12:00-13:30
4CM2,PROBABILIDAD Y ESTADISTICA,CORREA COYAC DAVID,2,004,,10:30-12:00,10:30-12:00,,10:30-12:00
4CM2,MATEMATICAS AVANZADAS PARA LA INGENIERIA,CERVANTES ESPINOSA LUIS MOCTEZUMA,2,204,10:30-12:00,08:30-10:00,,10:30-12:00,
4CM2,DISEÑO DE SISTEMAS DIGITALES,MUJICA ASCENCIO CESAR,2,004,,07:00-08:30,07:00-08:30,,07:00-08:30
4CM2,ELECTRONICA ANALOGICA,MARTINEZ DIAZ JUAN CARLOS,2,004,08:30-10:00,,08:30-10:00,08:30-10:00,
4CM2,TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB,RIVERA DE LA ROSA MONICA,2,204,07:00-08:30,,,07:00-08:30,08:30-10:00
4CM2,SISTEMAS OPERATIVOS,JUÁREZ MÉNDEZ ANA BELEM,2,004,12:00-13:30,,12:00-13:30,12:00-13:30,
