Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
7CM2,SISTEMAS DISTRIBUIDOS,CORONILLA CONTRERAS UKRANIO,4,108,10:30-12:00,08:30-10:00,,10:30-12:00,
7CM2,INSTRUMENTAL VIRTUAL|[VIRTUAL INSTRUMENTIATION APPLICATIONS,TELLEZ BARRERA JUAN CARLOS,3,309,,10:30-12:00,10:30-12:00,,10:30-12:00
7CM2,PROC. DE LENG|NATURAL LANGUAGE PROCESSING,ROSAS TRIGUEROS JORGE LUIS,4,108,12:00-13:30,,12:00-13:30,12:00-13:30,
7CM2,DESARROLLO DE APLICACIONES MOVILES NATIVAS,RIVERA DE LA ROSA MONICA,4,108,08:30-10:00,,08:30-10:00,08:30-10:00,
7CM2,ADMINISTRACION DE SERVICIOS EN RED,MARTINEZ ROSALES RICARDO,4,108,,07:00-08:30,07:00-08:30,,07:00-08:30
