Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
7CM3,SISTEMAS DISTRIBUIDOS,CORONILLA CONTRERAS UKRANIO,4,109,,10:30-12:00,10:30-12:00,,10:30-12:00
7CM3,DES. DE APLIC|WEB CLIENT AND BACKEND DEVELOPMEN FRAMEWORKS,ENRIQUEZ ZARATE Dr. JOSE ASUNCION,4,109,12:00-13:30,,12:00-13:30,12:00-13:30,
7CM3,VISION POR ANALYSIS,CRUZ MEZA MARIA ELENA,4,109,,12:00-13:30,13:30-15:00,,12:00-13:30
7CM3,DESARROLLO DE APLICACIONES MOVILES NATIVAS,CIFUENTES ALVAREZ ALEJANDRO SIGFRIDO,4,109,10:30-12:00,08:30-10:00,,10:30-12:00,
7CM3,ADMINISTRACION DE SERVICIOS EN RED,TENORIO MARRON MARCO ANTONIO,4,109,08:30-10:00,,08:30-10:00,08:30-10:00,
