Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
"['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']","['L u n', 'G r u p o', 'E d i f i c i o', 'S a l ó n', 'M a r', 'M i e', 'J u e', 'V i e', 'S a b', 'A s i g n a t u r a', 'P r o f e s o r']"
['6 C V 1'],['I N T E L I G E N C I A A R T I F I C I A L'],['L O P E Z   R U I Z   G A B R I E L A   D E   J E S U S'],['3'],['2 1 0'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],,['1 5 : 0 0 - 1 6 : 3 0'],
['6 C V 1'],['S I S T E M A S   E N   C H I P'],['P E R E Z   P E R E Z   J O S E   J U A N'],['3'],['2 1 0'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 3 : 3 0 - 1 5 : 0 0'],,
['6 C V 1'],['M E T O D O S   C U A N T I T A T I V O S   P A R A   L A   T O M A   D E   D E C I S I O N E S'],['L O P E Z   R O J A S   A R I E L'],['3'],['2 1 0'],['1 5 : 0 0 - 1 6 : 3 0'],,,['1 5 : 0 0 - 1 6 : 3 0'],['1 6 : 3 0 - 1 8 : 0 0'],
['6 C V 1'],['G O B I E R N O   D E   T I C O M P U T E R   S E C U R I T Y'],['E N   C O N T R A T A C I ó N'],['3'],['2 1 0'],['2 0 : 0 0 - 2 1 : 3 0'],,['2 0 : 0 0 - 2 1 : 3 0'],['2 0 : 0 0 - 2 1 : 3 0'],,
['6 C V 1'],['I N G E N I E R I A   D E   S O F T W A R E'],['G O N Z A L E Z   R A M I R E Z   M A R K O   A L F O N S O'],['3'],['2 1 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 6 : 3 0 - 1 8 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,
['6 C V 1'],['A P L I C A C I O N E S   P A R A   C O M U N I C A C I O N E S   E N   R E D'],['S A L A S   R A M I R E Z   I S R A E L'],['3'],['2 1 0'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],,
['6 C V 2'],['I N T E L I G E N C I A A R T I F I C I A L'],['G A R C I A   F L O R I A N O A N D R E S'],['3'],['2 1 1'],['1 6 : 3 0 - 1 8 : 0 0'],,,['1 6 : 3 0 - 1 8 : 0 0   1 6 : 3 0 - 1 8 : 0 0'],,
['6 C V 2'],['S I S T E M A S   E N   C H I P'],['J I M E N E Z   R U I Z   R E N E   B A L T A Z A R'],['3'],['2 1 1'],['1 5 : 0 0 - 1 6 : 3 0'],,,['1 5 : 0 0 - 1 6 : 3 0'],['1 6 : 3 0 - 1 8 : 0 0'],
['6 C V 2'],['M E T O D O S   C U A N T I T A T I V O S   P A R A   L A   T O M A   D E   D E C I S I O N E S'],['M E D I N A   M E J I A   V I R G I N I A'],['3'],['2 1 1'],,,['1 8 : 3 0 - 2 0 : 0 0 1 8 : 3 0 - 2 0 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],
