Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
"['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']","['P r o f e s o r', 'G r u p o', 'S a l ó n', 'S a b', 'M a r', 'M i e', 'J u e', 'V i e', 'A s i g n a t u r a', 'E d i f i c i o', 'L u n']"
['4 C M 1'],['T E O R I A   D E   L A   C O M P U T A C I O N'],['J U A R E Z   M A R T I N E Z   G E N A R O'],['2'],['0 0 3'],['1 2 : 0 0 - 1 3 : 3 0'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],,
['4 C M 1'],['P R O B A B I L I D A D   Y   E S T A D I S T I C A'],['M A R T I N E Z   G A R C i A   C E S A R   R ó M A N'],['2'],['0 0 3'],['1 0 : 3 0 - 1 2 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],,
['4 C M 1'],['M A T E M A T I C A S   A V A N Z A D A S   P A R A   L A   I N G E N I E R I A'],['G U Z M A N   A G U I L A R   F L O R E N C I O'],['2'],['0 0 3'],['0 8 : 3 0 - 1 0 : 0 0'],,['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
['4 C M 1'],['D I S E N O   D E   S I S T E M A S   D I G I T A L E S'],['T E S T A   N A V A A L E X I S'],['2'],['0 0 3'],['0 7 : 0 0 - 0 8 : 3 0'],,,['0 7 : 0 0 - 0 8 : 3 0'],['0 8 : 3 0 - 1 0 : 0 0'],
['4 C M 1'],['E L E C T R O N I C A A N A L O G I C A'],['D U R A N   C A M A R I L L O   E D M U N D O   R E N E'],['2'],['0 0 3'],,['0 7 : 0 0 - 0 8 : 3 0'],['0 7 : 0 0 - 0 8 : 3 0'],,['0 7 : 0 0 - 0 8 : 3 0'],
['4 C M 1'],['T E C N O L O G I A S   P A R A   D E S A R R O L L O   D E   A P L I C A C I O N E S   W E B'],['B A U T I S T A   R O S A L E S   S A N D R A   I V E T T E'],['2'],['0 0 3'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 2 : 0 0 - 1 3 : 3 0'],
['4 C M 1'],['S I S T E M A S   O P E R A T I V O S'],['E N   C O N T R A T A C I ó N'],['2'],['0 0 3'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['4 C M 2'],['T E O R I A   D E   L A   C O M P U T A C I O N'],['J U A R E Z   M A R T I N E Z   G E N A R O'],['2'],['0 0 4'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 2 : 0 0 - 1 3 : 3 0'],
['4 C M 2'],['P R O B A B I L I D A D   Y   E S T A D I S T I C A'],['C A N E D O   S U A R E Z   L E T I C I A'],['2'],['0 0 4'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['4 C M 2'],['M A T E M A T I C A S   A V A N Z A D A S   P A R A L A   I N G E N I E R I A'],['G O N Z A L E Z   T R U J I L L O   M I G U E L   A N G E L'],['2'],['0 0 4'],['1 0 : 3 0 - 1 2 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],,
['4 C M 2'],['D I S E N O   D E   S I S T E M A S   D I G I T A L E S'],['M U J I C A A S C E N C I O   C E S A R'],['2'],['0 0 4'],,['0 7 : 0 0 - 0 8 : 3 0'],['0 7 : 0 0 - 0 8 : 3 0'],,['0 7 : 0 0 - 0 8 : 3 0'],
['4 C M 2'],['E L E C T R O N I C A A N A L O G I C A'],['M A R T I N E Z   D I A Z   J U A N   C A R L O S'],['2'],['0 0 4'],['0 8 : 3 0 - 1 0 : 0 0'],,['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
['4 C M 2'],['T E C N O L O G I A S   P A R A   D E S A R R O L L O   D E   A P L I C A C I O N E S   W E B'],['R I V E R A   D E   L A   R O S A   M O N I C A'],['2'],['0 0 4'],['0 7 : 0 0 - 0 8 : 3 0'],,,['0 7 : 0 0 - 0 8 : 3 0'],['0 8 : 3 0 - 1 0 : 0 0'],
['4 C M 2'],['S I S T E M A S   O P E R A T I V O S'],['J U A R E Z   M E N D E Z   A N A   B E L E M'],['2'],['0 0 4'],['1 2 : 0 0 - 1 3 : 3 0'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],,
