Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
['2 C M 2'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['C R U Z   R O J A S   J O R G E   A L B E R T O'],['1'],['0 1 1'],['1 0 : 3 0 - 1 2 : 0 0'],['1 2 : 0 0 - 1 3 : 3 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 2 : 0 0 - 1 3 : 3 0'],
['2 C M 2'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['O L A L D E   M O G O L L A N   N O R M A'],['1'],['0 1 1'],['1 2 : 0 0 - 1 3 : 3 0'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],,
['2 C M 2'],['F U N D A M E N T O S   E C O N O M I C O S'],['G A L I N A N E S   R O D R I G U E Z   M A R I A   G A B R I E L A'],['1'],['0 1 1'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['2 C M 3'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['F R A N C O   M A R T I N E Z   E D G A R D O   A D R I A N'],['1'],['0 1 2'],['0 8 : 3 0 - 1 0 : 0 0'],,['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
['2 C M 3'],['A L G E B R A   L I N E A L'],['L O P E Z   S A N C H E Z   J O S E   M A N U E L'],['1'],['0 1 2'],['1 0 : 3 0 - 1 2 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],,
['2 C M 3'],['C A L C U L O   A P L I C A D O'],['C R U Z   R O J A S   J O R G E   A L B E R T O'],['1'],['0 1 2'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['2 C M 3'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['C O R R E A   C O Y A C   D A V I D'],['1'],['0 1 2'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],['1 2 : 0 0 - 1 3 : 3 0'],
['2 C M 3'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['S A N C H E Z   A R R O Y O   J O S E   E M I L I O'],['1'],['0 1 2'],['0 7 : 0 0 - 0 8 : 3 0'],,,['0 7 : 0 0 - 0 8 : 3 0'],['0 8 : 3 0 - 1 0 : 0 0'],
['2 C M 3'],['F U N D A M E N T O S   E C O N O M I C O S'],['M A L D O N A D O   M U N O Z   M I G U E L   A N G E L'],['1'],['0 1 2'],['1 2 : 0 0 - 1 3 : 3 0'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],,
['2 C M 4'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['R O D R I G U E Z   J O R D A N   G A B R I E L   D E   J E S U S'],['1'],['0 1 3'],['1 0 : 3 0 - 1 2 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],,
['2 C M 4'],['A L G E B R A   L I N E A L'],['G O N Z A L E Z   C I S N E R O S   A L E J A N D R O'],['1'],['0 1 3'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['2 C M 4'],['C A L C U L O A P L I C A D O'],['C R U Z   R O J A S   J O R G E   A L B E R T O'],['1'],['0 1 3'],['1 2 : 0 0 - 1 3 : 3 0'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],,
['2 C M 4'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['M U N O Z   S A L A Z A R   L A U R A'],['1'],['0 1 3'],['0 8 : 3 0 - 1 0 : 0 0'],['1 2 : 0 0 - 1 3 : 3 0'],['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
['2 C M 4'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['S A N C H E Z   A R R O Y O   J O S E   E M I L I O'],['1'],['0 1 3'],,['0 7 : 0 0 - 0 8 : 3 0'],['0 7 : 0 0 - 0 8 : 3 0'],,['0 7 : 0 0 - 0 8 : 3 0'],
['2 C M 4'],['F U N D A M E N T O S   E C O N O M I C O S'],['T O R R E S   G O N Z A L E Z   E N R I Q U E'],['1'],['0 1 3'],['0 7 : 0 0 - 0 8 : 3 0'],,,['0 7 : 0 0 - 0 8 : 3 0'],['0 8 : 3 0 - 1 0 : 0 0'],
['2 C M 5'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['T E C L A   P A R R A   R O B E R T O'],['1'],['0 1 4'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['2 C M 5'],['A L G E B R A   L I N E A L'],['C A N E D O   S U A R E Z   L E T I C I A'],['1'],['0 1 4'],['1 2 : 0 0 - 1 3 : 3 0'],,['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],,
['2 C M 5'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['C E B A L L O S   S E B A S T I A N   R I C A R D O'],['1'],['0 1 4'],['1 0 : 3 0 - 1 2 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 2 : 0 0 - 1 3 : 3 0'],
['2 C M 5'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['C E N T E N O   A R R A Z O L A   M A R I A   S O L E D A D'],['1'],['0 1 4'],['0 8 : 3 0 - 1 0 : 0 0'],,['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
['2 C M 5'],['F U N D A M E N T O S   E C O N O M I C O S'],['T O R R E S   G O N Z A L E Z   E N R I Q U E'],['1'],['0 1 4'],,['0 7 : 0 0 - 0 8 : 3 0'],['0 7 : 0 0 - 0 8 : 3 0'],,['0 7 : 0 0 - 0 8 : 3 0'],
['2 C M 6'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['A L B O R T A N T E   M O R A T O   C E C I L I A'],['1'],['2 1 4'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['2 C M 6'],['A L G E B R A   L I N E A L'],['M O R A L E S   G O N Z A L E Z   A N G E L'],['1'],['2 1 4'],['0 7 : 0 0 - 0 8 : 3 0'],,,['0 7 : 0 0 - 0 8 : 3 0'],['0 8 : 3 0 - 1 0 : 0 0'],
['2 C M 6'],['C A L C U L O   A P L I C A D O'],['V I V E R O S   V E L A   K A R I N A'],['1'],['2 1 4'],,['0 7 : 0 0 - 0 8 : 3 0'],['0 7 : 0 0 - 0 8 : 3 0'],,['0 7 : 0 0 - 0 8 : 3 0'],
['2 C M 6'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['S A N C H E Z   M O R E N O   A D R I A N A   D E   L A   P'],['1'],['2 1 4'],['1 0 : 3 0 - 1 2 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],,
['2 C M 6'],['F U N D A M E N T O S   E C O N O M I C O S'],['C A S T I L L O   M A R R U F O   J U A N   A N T O N I O'],['1'],['2 1 4'],['0 8 : 3 0 - 1 0 : 0 0'],,['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
