Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
"['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']","['M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n', 'M a r']"
['2 C M 1'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['T E C L A   P A R R A   R O B E R T O'],['1'],['0 0 7'],['0 7 : 0 0 - 0 8 : 3 0'],,,,,
['2 C M 1'],['A L G E B R A   L I N E A L'],['G U Z M A N   A G U I L A R   F L O R E N C I O'],['1'],['0 0 7'],,['0 7 : 0 0 - 0 8 : 3 0'],['0 7 : 0 0 - 0 8 : 3 0'],,['0 7 : 0 0 - 0 8 : 3 0'],
['2 C M 1'],['C A L C U L O   A P L I C A D O'],['V I V E R O S   V E L A   K A R I N A'],['1'],['0 0 7'],['0 8 : 3 0 - 1 0 : 0 0'],,['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
['2 C M 1'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['S A L I N A S   H E R N A N D E Z   E N C A R N A C I O N'],['1'],['0 0 7'],['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],,
['2 C M 1'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['A R R E D O N D O   S A N C H E Z   A N A   L A U R A'],['1'],['0 0 7'],,['1 0 : 3 0 - 1 2 : 0 0'],['1 0 : 3 0 - 1 2 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],
['2 C M 1'],['F U N D A M E N T O S   E C O N O M I C O S'],['C A S T I L L O   M A R R U F O   J U A N   A N T O N I O'],['1'],['0 0 7'],['1 0 : 3 0 - 1 2 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,['1 0 : 3 0 - 1 2 : 0 0'],,
['2 C M 2'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['F R A N C O   M A R T I N E Z   E D G A R D O   A D R I A N'],['1'],['0 1 1'],,['0 7 : 0 0 - 0 8 : 3 0'],['0 7 : 0 0 - 0 8 : 3 0'],,['0 7 : 0 0 - 0 8 : 3 0'],
['2 C M 2'],['A L G E B R A   L I N E A L'],['M O R A L E S   G O N Z A L E Z   A N G E L'],['1'],['0 1 1'],['0 8 : 3 0 - 1 0 : 0 0'],,['0 8 : 3 0 - 1 0 : 0 0'],['0 8 : 3 0 - 1 0 : 0 0'],,
['2 C M 2'],['C A L C U L O   A P L I C A D O'],['R U I Z   L E D E S M A   E L E N A   F A B I O L A'],,,,,,,,
