Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
"['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']","['M a r', 'M i e', 'J u e', 'S a b', 'G r u p o', 'V i e', 'A s i g n a t u r a', 'P r o f e s o r', 'E d i f i c i o', 'S a l ó n', 'L u n']"
['2 C V 1'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['C A R M O N A   G A R C I A   E N R I Q U E   A L F O N S O'],['7'],['0 0 7'],['1 5 : 0 0 - 1 6 : 3 0'],,,,['1 5 : 0 0 - 1 6 : 3 0   1 6 : 3 0 - 1 8 : 0 0'],
['2 C V 1'],['A L G E B R A   L I N E A L'],['G U T I E R R E Z   M E J I A   D A R W I N'],['1'],['0 0 7'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],,['1 5 : 0 0 - 1 6 : 3 0'],
['2 C V 1'],['C A L C U L O   A P L I C A D O'],['J U A R E Z   L E O N   C A R L O S'],['1'],['0 0 7'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 6 : 3 0 - 1 8 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,
['2 C V 1'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['E S Q U I V E L   C E N T E N O   J O S E   A R M A N D O'],['1'],['0 0 7'],['2 0 : 0 0 - 2 1 : 3 0'],['2 0 : 0 0 - 2 1 : 3 0'],['2 0 : 0 0 - 2 1 : 3 0'],['2 0 : 0 0 - 2 1 : 3 0'],,
['2 C V 1'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['C R U Z   L A Z A R O   I N G .   A P O L I N A R   F R A N C I S C O'],['1'],['0 0 7'],,['1 8 : 3 0 - 2 0 : 0 0'],['1 8 : 3 0 - 2 0 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],
['2 C V 1'],['F U N D A M E N T O S   E C O N O M I C O S'],['M A R T I N E Z   P E R A L E S   J O S E   C R U Z'],['1'],['0 0 7'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],,
['2 C V 2'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['J U A R E Z   M E N D E Z   A N A   B E L E M'],['1'],['0 1 1'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 3 : 3 0 - 1 5 : 0 0'],,
['2 C V 2'],['A L G E B R A   L I N E A L'],['N A V A   L A R A   J O E L'],['1'],['0 1 1'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 6 : 3 0 - 1 8 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,
['2 C V 2'],['C A L C U L O   A P L I C A D O'],['J U A R E Z   L E O N   C A R L O S'],['1'],['0 1 1'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],,
['2 C V 2'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['C O R R E A   C O Y A C   D A V I D'],['1'],['0 1 1'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],
['2 C V 2'],['F U N D A M E N T O S   E C O N O M I C O S'],['C A B R E R A   C H A V E Z   G L O R I A L O U R D E S'],['1'],['0 1 1'],,['1 8 : 3 0 - 2 0 : 0 0'],['1 8 : 3 0 - 2 0 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],
['2 C V 3'],['A L G O R I T M O S   Y   E S T R U C T U R A D E   D A T O S'],['O R T I Z   C A S T I L L O   M A R C O   A N T O N I O'],['2'],['2 0 4'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 3 : 3 0 - 1 5 : 0 0'],,
['2 C V 3'],['A L G E B R A   L I N E A L'],['N A V A   L A R A   J O E L'],['1'],['1 0 2'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],,
['2 C V 3'],['C A L C U L O   A P L I C A D O'],['Z A R A T E   C A R D E N A S   A L E J A N D R O'],['1'],['0 1 2'],,['1 8 : 3 0 - 2 0 : 0 0'],['1 8 : 3 0 - 2 0 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],
['2 C V 3'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['D O M I N G U E Z   H E R N A N D E Z   S A M U E L'],['2'],['2 1 1'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],['1 2 : 0 0 - 1 3 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],
['2 C V 3'],['I N G E N I E R I A E T I C A   Y   S O C I E D A D'],['O J E D A   S I L V A   O S C A R A L O N S O'],['1'],['0 1 2'],['1 5 : 0 0 - 1 6 : 3 0'],,,['1 5 : 0 0 - 1 6 : 3 0'],['1 6 : 3 0 - 1 8 : 0 0'],
['2 C V 3'],['F U N D A M E N T O S   E C O N O M I C O S'],['V I L L E G A S   N A V A R R E T E   S O N I A'],['1'],['0 1 2'],['2 0 : 0 0 - 2 1 : 3 0'],,['2 0 : 0 0 - 2 1 : 3 0'],['2 0 : 0 0 - 2 1 : 3 0'],,
['2 C V 4'],['A L G O R I T M O S   Y   E S T R U C T U R A   D E   D A T O S'],['M O S C O S O   M A L A G O N   Y O S A F A T'],['1'],['0 1 3'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],,
['2 C V 4'],['A L G E B R A   L I N E A L'],['R O D R I G U E Z   V I L L A R R E A L   J O S E   G R E G O R I O'],['1'],['0 1 3'],,['1 8 : 3 0 - 2 0 : 0 0'],['1 8 : 3 0 - 2 0 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],
['2 C V 4'],['C A L C U L O A P L I C A D O'],['C R U Z   R O J A S   A L E J A N D R O'],['1'],['0 1 3'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 3 : 3 0 - 1 5 : 0 0'],,
['2 C V 4'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['L E V A R I O   M E D I N A   S E R G I O'],['1'],['0 1 3'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 6 : 3 0 - 1 8 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],
['2 C V 4'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['O J E D A   S I L V A   O S C A R   A L O N S O'],['1'],['0 1 3'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],,['1 5 : 0 0 - 1 6 : 3 0'],
['2 C V 4'],['F U N D A M E N T O S   E C O N O M I C O S'],['C A B R E R A   C H A V E Z   G L O R I A   L O U R D E S'],['1'],['0 1 3'],['1 5 : 0 0 - 1 6 : 3 0'],,,['1 5 : 0 0 - 1 6 : 3 0'],['1 6 : 3 0 - 1 8 : 0 0'],
['2 C V 5'],['A L G O R I T M O S   Y   E S T R U C T U R A D E   D A T O S'],['C A R M O N A   G A R C I A E N R I Q U E A L F O N S O'],['1'],['0 1 4'],,['1 8 : 3 0 - 2 0 : 0 0'],['1 8 : 3 0 - 2 0 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],
['2 C V 5'],['A L G E B R A   L I N E A L'],['F L O R E S   M E R A Z   Y E S I C A   S O N I A'],['1'],['0 1 4'],['2 0 : 0 0 - 2 1 : 3 0'],,['2 0 : 0 0 - 2 1 : 3 0'],['2 0 : 0 0 - 2 1 : 3 0'],,
['2 C V 5'],['C A L C U L O   A P L I C A D O'],['Z A R A T E   C A R D E N A S   A L E J A N D R O'],['1'],['0 1 4'],['1 5 : 0 0 - 1 6 : 3 0'],,,['1 5 : 0 0 - 1 6 : 3 0'],['1 6 : 3 0 - 1 8 : 0 0'],
['2 C V 5'],['M E C A N I C A   Y   E L E C T R O M A G N E T I S M O'],['E S Q U I V E L   C E N T E N O   J O S E   A R M A N D O'],['1'],['0 1 4'],['1 8 : 3 0 - 2 0 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 8 : 3 0 - 2 0 : 0 0'],['2 0 : 0 0 - 2 1 : 3 0'],
['2 C V 5'],['I N G E N I E R I A E T I C A   Y   S O C I E D A D'],['E N   C O N T R A T A C I O N'],['1'],['0 1 4'],['1 6 : 3 0 - 1 8 : 0 0'],,['1 6 : 3 0 - 1 8 : 0 0'],['1 6 : 3 0 - 1 8 : 0 0'],,
['2 C V 5'],['F U N D A M E N T O S   E C O N O M I C O S'],['E S T R A D A   E L I Z A L D E   S E R A F I N'],['1'],['0 1 4'],,['1 5 : 0 0 - 1 6 : 3 0'],['1 5 : 0 0 - 1 6 : 3 0'],,['1 5 : 0 0 - 1 6 : 3 0'],
['2 C V 6'],['A L G E B R A   L I N E A L'],['G U T I E R R E Z   M E J I A   D A R W I N'],['1'],['2 1 4'],['1 5 : 0 0 - 1 6 : 3 0'],,,['1 5 : 0 0 - 1 6 : 3 0'],['1 6 : 3 0 - 1 8 : 0 0'],
['2 C V 6'],['I N G E N I E R I A   E T I C A   Y   S O C I E D A D'],['S E R R A N O   R O M E R O   C L A U D I A   W E N D Y'],['1'],['2 1 4'],['1 3 : 3 0 - 1 5 : 0 0'],['1 3 : 3 0 - 1 5 : 0 0'],,['1 3 : 3 0 - 1 5 : 0 0'],,
